predicted,predictor,model,roi_type,fa_type,spillover,fold,rsquared_train,delta_rsquared_train,rsquared_test,delta_rsquared_test,loglik_train,delta_loglik_train,loglik_test,delta_loglik_test
DwellTime,SurprisalLeadingAndTrailingSpanning7,gpt2_k5,LeadingAndTrailing,Spanning7,True,0_4,0.5152597047756093,0.015311795685642449,0.41207987611589636,-0.0071749078436980085,-5.316643676840865,0.015549500529822069,-5.38932495046578,-0.006139480437055589
DwellTime,SurprisalLeadingAndTrailingSpanningWhole,gpt2_k5,LeadingAndTrailing,SpanningWhole,True,0_4,0.5174022902517325,0.017454381161765564,0.43008398075551546,0.010829196795921092,-5.314428743726588,0.017764433644098965,-5.3737739106550135,0.009411559373710965
DwellTime,SurprisalNoWhitespaceDynamic7,gpt2_k5,NoWhitespace,Dynamic7,True,0_4,0.5305624275417509,0.03061451845178398,0.4291429613792137,0.009888177419619337,-5.30060470186155,0.031588475509137126,-5.37459880705597,0.008586662972754233
DwellTime,SurprisalNoWhitespaceDynamic8,gpt2_k5,NoWhitespace,Dynamic8,True,0_4,0.5326149274212485,0.032667018331281605,0.4264249811042855,0.007170197144691137,-5.298413782188058,0.033779395182628846,-5.376973771447513,0.006211698581211067
DwellTime,SurprisalNoWhitespaceFixed,gpt2_k5,NoWhitespace,Fixed,True,0_4,0.5229362183738373,0.02298830928387041,0.43141387304120693,0.012159089081612562,-5.308662137988022,0.02353103938266532,-5.372605803159568,0.010579666869156235
DwellTime,SurprisalNoWhitespaceWhole,gpt2_k5,NoWhitespace,Whole,True,0_4,0.535197329534898,0.03524942044493107,0.4259460441492965,0.0066912601897021196,-5.295643515426854,0.03654966194383302,-5.377391098818408,0.005794371210316562
DwellTime,SurprisalNoWhitespaceSpanning3,gpt2_k5,NoWhitespace,Spanning3,True,0_4,0.5195032852976809,0.01955537620771397,0.42810063694185163,0.008845852982257263,-5.312247235532302,0.01994594183838494,-5.375510921593142,0.007674548435582906
DwellTime,SurprisalNoWhitespaceSpanning4,gpt2_k5,NoWhitespace,Spanning4,True,0_4,0.5188668793112987,0.01891897022133182,0.42497652319077706,0.005721739231182688,-5.312909034964757,0.01928414240593046,-5.378234837596168,0.004950632432556112
DwellTime,SurprisalNoWhitespaceSpanning5,gpt2_k5,NoWhitespace,Spanning5,True,0_4,0.5163418404605042,0.01639393137053735,0.4172069341519069,-0.002047849807687463,-5.315526227582257,0.016666949788429974,-5.384945491124796,-0.0017600210960715401
DwellTime,SurprisalNoWhitespaceSpanning6,gpt2_k5,NoWhitespace,Spanning6,True,0_4,0.514454280432997,0.014506371343030122,0.41448744161349926,-0.004767342346095105,-5.317473766644621,0.014719410726065973,-5.387273218898835,-0.004087748870110097
DwellTime,SurprisalNoWhitespaceSpanning7,gpt2_k5,NoWhitespace,Spanning7,True,0_4,0.5121248388579616,0.01217692976799467,0.413072781613129,-0.006182002346465376,-5.319866817860045,0.012326359510642426,-5.388479814508193,-0.005294344479468194
DwellTime,SurprisalNoWhitespaceSpanningWhole,gpt2_k5,NoWhitespace,SpanningWhole,True,0_4,0.5173416247603542,0.017393715670387278,0.4317658071660707,0.012511023206476346,-5.314491592842384,0.01770158452830284,-5.37229622553329,0.01088924449543427
DwellTime,SurprisalLeadingDynamic7,gpt2_k5,Leading,Dynamic7,True,0_5,0.5122691083965437,0.02188120770371549,0.5312501961321863,0.026509089792221552,-5.314048122882077,0.021943022307032045,-5.326293036075975,0.02750574223426483
DwellTime,SurprisalLeadingDynamic8,gpt2_k5,Leading,Dynamic8,True,0_5,0.5166695375243407,0.026281636831512523,0.5411397347228275,0.036398628382862785,-5.309516525335989,0.026474619853119385,-5.31563132202342,0.0381674562868195
DwellTime,SurprisalLeadingFixed,gpt2_k5,Leading,Fixed,True,0_5,0.5062314159135398,0.01584351522071159,0.5206564718663222,0.015915365526357528,-5.32019969890589,0.01579144628321849,-5.337467215688355,0.016331562621884288
DwellTime,SurprisalLeadingWhole,gpt2_k5,Leading,Whole,True,0_5,0.521896429740714,0.031508529047885814,0.5505996199399479,0.045858513599983164,-5.304079913426123,0.031911231762985715,-5.30521555936956,0.04858321894067963
DwellTime,SurprisalLeadingSpanning3,gpt2_k5,Leading,Spanning3,True,0_5,0.5096740719548287,0.019286171262000495,0.5352157367373847,0.030474630397419933,-5.316701386454396,0.019289758734712947,-5.322045130619573,0.031753647690666575
DwellTime,SurprisalLeadingSpanning4,gpt2_k5,Leading,Spanning4,True,0_5,0.5084779316625432,0.018090030969714954,0.5331191319006228,0.02837802556065805,-5.317919641101185,0.01807150408792335,-5.3242955189891985,0.029503259321041142
DwellTime,SurprisalLeadingSpanning5,gpt2_k5,Leading,Spanning5,True,0_5,0.5080132654722345,0.01762536477940624,0.5291864956016574,0.024445389261692707,-5.31839209871776,0.017599046471348245,-5.3284894860981,0.025309292212139844
DwellTime,SurprisalLeadingSpanning6,gpt2_k5,Leading,Spanning6,True,0_5,0.5054368752517031,0.015048974558874884,0.523729478766207,0.018988372426242295,-5.321003620125762,0.014987525063347107,-5.33425146400008,0.019547314310159436
DwellTime,SurprisalLeadingSpanning7,gpt2_k5,Leading,Spanning7,True,0_5,0.5040496870735289,0.013661786380700702,0.516698931219229,0.011957824879264334,-5.322404094902097,0.013587050287011238,-5.341578351777207,0.012220426533033013
DwellTime,SurprisalLeadingSpanningWhole,gpt2_k5,Leading,SpanningWhole,True,0_5,0.5069937156756023,0.016605814982774025,0.5302848532961966,0.02554374695623185,-5.319427182359201,0.016563962829907908,-5.3273216767043525,0.02647710160588712
DwellTime,SurprisalTrailingDynamic7,gpt2_k5,Trailing,Dynamic7,True,0_5,0.516355852239863,0.025967951547034795,0.5389378436036143,0.03419673726364958,-5.309840924024602,0.026150221164506604,-5.318024888341982,0.03577388996825803
DwellTime,SurprisalTrailingDynamic8,gpt2_k5,Trailing,Dynamic8,True,0_5,0.5205192595363144,0.030131358843486167,0.5352925349714064,0.03055142863144167,-5.305518085646013,0.030473059543095538,-5.3219625067167895,0.03183627159345015
DwellTime,SurprisalTrailingFixed,gpt2_k5,Trailing,Fixed,True,0_5,0.512396318146431,0.022008417453602824,0.5298717718062167,0.025130665466251978,-5.313917696099237,0.022073449089871744,-5.32776119836042,0.026037579949819367
DwellTime,SurprisalTrailingWhole,gpt2_k5,Trailing,Whole,True,0_5,0.5215502251023356,0.03116232440950739,0.5461822521361339,0.0414411457961692,-5.304441842695669,0.031549302493439235,-5.310106297151861,0.04369248115837898
DwellTime,SurprisalTrailingSpanning3,gpt2_k5,Trailing,Spanning3,True,0_5,0.5081796604636025,0.017791759770774296,0.5320212792851224,0.02728017294515772,-5.3182229649543,0.01776818023480864,-5.325469869804357,0.02832890850588221
