predicted,predictor,model,roi_type,fa_type,spillover,fold,rsquared_train,delta_rsquared_train,rsquared_test,delta_rsquared_test,loglik_train,delta_loglik_train,loglik_test,delta_loglik_test
GazeDuration,SurprisalNoWhitespaceSpanning3,gpt2_k5,NoWhitespace,Spanning3,True,6_9,0.734583024745054,0.0075267232779857585,0.7316021226835352,0.004291995012224548,-5.179528792283479,0.013981730281213522,-5.2173646817144155,0.007932327121983995
GazeDuration,SurprisalNoWhitespaceSpanning4,gpt2_k5,NoWhitespace,Spanning4,True,6_9,0.734464495273814,0.007408193806745733,0.7331692575911836,0.0058591299198729185,-5.179752031608424,0.013758490956268687,-5.214436700421415,0.01086030841498431
GazeDuration,SurprisalNoWhitespaceSpanning5,gpt2_k5,NoWhitespace,Spanning5,True,6_9,0.7342675082809758,0.0072112068139075225,0.7321642914110421,0.004854163739731465,-5.180122818110122,0.013387704454570937,-5.2163163159495,0.008980692886899178
GazeDuration,SurprisalNoWhitespaceSpanning6,gpt2_k5,NoWhitespace,Spanning6,True,6_9,0.7329531904653833,0.005896888998315086,0.730479774441668,0.0031696467703573594,-5.182589731668257,0.010920790896435939,-5.2194511515032715,0.005845857333127924
GazeDuration,SurprisalNoWhitespaceSpanning7,gpt2_k5,NoWhitespace,Spanning7,True,6_9,0.7325627952762344,0.005506493809166124,0.7290587539673294,0.001748626296018796,-5.183320146887722,0.010190375676971009,-5.222080430043163,0.0032165787932365575
GazeDuration,SurprisalNoWhitespaceSpanningWhole,gpt2_k5,NoWhitespace,SpanningWhole,True,6_9,0.7333546548425388,0.006298353375470578,0.7319483547523877,0.004638227081077084,-5.181837491918523,0.01167303064617009,-5.216719267556392,0.008577741280007878
GazeDuration,SurprisalLeadingDynamic7,gpt2_k5,Leading,Dynamic7,True,7_0,0.734779617635787,0.006314331194922196,0.7319202624250725,0.010046414713051899,-5.183452627316054,0.011764438839228397,-5.180364560212996,0.01839516572353528
GazeDuration,SurprisalLeadingDynamic8,gpt2_k5,Leading,Dynamic8,True,7_0,0.7376812800814434,0.009215993640578568,0.73539555324231,0.013521705530289418,-5.177952197687156,0.017264868468126693,-5.173840356513749,0.024919369422781834
GazeDuration,SurprisalLeadingFixed,gpt2_k5,Leading,Fixed,True,7_0,0.7364813956199141,0.008016109179049269,0.7315924953241858,0.009718647612165232,-5.180234056521884,0.014983009633398936,-5.18097551069952,0.017784215237011125
GazeDuration,SurprisalLeadingWhole,gpt2_k5,Leading,Whole,True,7_0,0.7401755204213103,0.011710233980445461,0.7357344497246769,0.013860602012656376,-5.173175233600324,0.02204183255495895,-5.173199562877025,0.025560163059505925
GazeDuration,SurprisalLeadingSpanning3,gpt2_k5,Leading,Spanning3,True,7_0,0.7351834265465385,0.00671814010567362,0.7333297256714812,0.01145587795946068,-5.182690776685744,0.012526289469538376,-5.177728811771742,0.02103091416478886
GazeDuration,SurprisalLeadingSpanning4,gpt2_k5,Leading,Spanning4,True,7_0,0.7340908574291393,0.005625570988274431,0.7321200487191779,0.01024620100715734,-5.184749411923945,0.010467654231337775,-5.179991796537829,0.01876792939870242
