StimulusID,ContextLength,Region,RegionLength,SubtlexLogFreq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,FirstFixationDuration,FirstPassDuration,RightBoundedDuration,GoPastDuration
176,2,talk,4,10.682927101661086,0.000263,-8.243356145558446,5.42,False,148.0952380952381,163.42857142857142,170.38095238095238,185.1428571428572
176,3,about,5,12.129223998077638,0.00251,-5.987472485997808,6.4,False,127.9047619047619,139.33333333333334,150.0,168.0952380952381
176,4,the,3,14.222246857765809,0.0537,-2.9243422756051207,7.73,False,65.42857142857143,65.42857142857143,65.42857142857143,65.42857142857143
176,5,things,6,10.472685852626894,0.00055,-7.5055920979195925,5.74,False,180.3809523809524,206.57142857142856,217.1428571428572,261.7142857142857
176,6,people,6,10.937596874990138,0.00178,-6.33114185849837,6.25,False,158.85714285714286,167.61904761904762,183.9047619047619,213.7142857142857
176,7,talk,4,10.682927101661086,0.000263,-8.243356145558446,5.42,False,88.47619047619048,88.47619047619048,92.95238095238096,96.38095238095238
176,8,about,5,12.129223998077638,0.00251,-5.987472485997808,6.4,False,180.0952380952381,186.8571428571429,186.8571428571429,198.47619047619048
176,9,on,2,12.77914604367569,0.00813,-4.812194343122295,6.91,False,61.333333333333336,61.333333333333336,61.333333333333336,79.52380952380952
176,10,first,5,10.665904232984529,0.00129,-6.653112983089179,6.11,False,173.8095238095238,249.7142857142857,287.1428571428572,398.0952380952381
176,11,dates.,6,6.836259277277067,3.47e-05,-10.268767989171232,4.54,True,195.9047619047619,227.9047619047619,251.8095238095238,588.4761904761905
177,1,don't,5,5.579729825986222,0.00158,-6.450330368652124,6.2,True,153.58139534883722,238.69767441860463,255.90697674418604,273.5813953488372
177,2,you,3,14.573842769379338,0.00955,-4.651214114018294,6.98,False,93.30232558139537,93.30232558139537,96.93023255813954,103.06976744186046
177,3,tell,4,11.384512380004418,0.000339,-7.989510155598617,5.53,False,127.44186046511628,133.11627906976744,141.11627906976744,155.6279069767442
177,4,me,2,13.063332859329108,0.00302,-5.802498414482777,6.48,False,46.7906976744186,46.7906976744186,46.7906976744186,46.7906976744186
177,5,what,4,,0.0024,-6.032286499961572,6.38,False,149.2093023255814,149.2093023255814,169.48837209302326,206.13953488372093
177,6,happened,8,10.126391075045728,0.000158,-8.752914892026116,5.2,False,152.93023255813952,165.48837209302326,172.74418604651163,204.3720930232558
177,7,on,2,12.77914604367569,0.00813,-4.812194343122295,6.91,False,12.930232558139537,12.930232558139537,12.930232558139537,12.930232558139537
177,8,"Saturday,",9,7.792761720816525,7.41e-05,-9.510093676135478,4.87,True,191.4418604651163,234.04651162790697,247.2558139534884,273.0232558139535
177,9,step,4,8.708144074908246,0.000135,-8.910235038785379,5.13,False,89.5813953488372,93.2093023255814,93.2093023255814,93.2093023255814
177,10,by,2,11.132601649268397,0.00457,-5.388242052194186,6.66,False,154.88372093023256,165.58139534883722,168.93023255813952,224.5581395348837
177,11,step.,5,8.708144074908246,0.000135,-8.910235038785379,5.13,True,181.95348837209303,212.46511627906972,240.8372093023256,464.9302325581396
178,1,put,3,10.651383301144277,0.000457,-7.690826948251713,5.66,False,156.0952380952381,169.9047619047619,184.1904761904762,207.3333333333333
178,2,her,3,11.88191329326812,0.002,-6.214608048422193,6.3,False,136.85714285714286,144.47619047619048,151.9047619047619,164.57142857142858
178,3,mug,3,5.855071922202427,5.13e-06,-12.180385405794198,3.71,False,118.28571428571428,121.71428571428572,131.04761904761904,149.61904761904762
178,4,of,2,13.288621606997308,0.0251,-3.684887428860335,7.4,False,70.0952380952381,70.0952380952381,70.0952380952381,89.04761904761905
178,5,tea,3,8.003028666384733,5.37e-05,-9.832095694253796,4.73,False,140.28571428571428,149.33333333333334,152.1904761904762,193.7142857142857
178,6,down,4,11.238541249462422,0.000759,-7.183508648816347,5.88,False,127.14285714285714,129.23809523809524,141.04761904761904,192.47619047619048
178,7,on,2,12.77914604367569,0.00813,-4.812194343122295,6.91,False,70.57142857142857,70.57142857142857,70.57142857142857,72.0
178,8,the,3,14.222246857765809,0.0537,-2.9243422756051207,7.73,False,109.33333333333331,116.47619047619048,116.47619047619048,158.57142857142858
178,9,table,5,8.591743922680534,0.000112,-9.097010793812435,5.05,False,158.47619047619048,175.42857142857142,175.42857142857142,190.8571428571429
178,10,with,4,12.458639067517554,0.00708,-4.950481357152215,6.85,False,77.80952380952381,81.9047619047619,81.9047619047619,90.57142857142856
178,11,a,1,13.855864282863422,0.0229,-3.776618364055131,7.36,False,91.23809523809524,91.23809523809524,91.23809523809524,97.71428571428572
178,12,bang.,5,6.926577033222725,2.09e-05,-10.77575661431596,4.32,True,216.8571428571429,244.47619047619048,288.3809523809524,709.1428571428571
179,1,is,2,13.038248891280736,0.0117,-4.448166428631418,7.07,False,63.04761904761905,76.76190476190476,78.47619047619048,106.0952380952381
179,2,looking,7,10.00179324132025,0.000372,-7.89661643487396,5.57,False,136.1904761904762,152.0,155.9047619047619,186.3809523809524
179,3,for,3,12.770391641736165,0.0102,-4.58536754888799,7.01,False,76.38095238095238,76.38095238095238,76.38095238095238,85.71428571428571
