StimulusID,ContextLength,Region,RegionCleaned,RegionLength,SubtlexLogFreq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,DwellTime,FirstFixationDuration,FirstPassDwellTime,FirstPassLandingPosition,SkipRate
en-universal-test.conllu 1267,10,pretending,pretending,10.0,2.90091306773767,1.15e-05,-11.37316352259507,4.06,False,680.1875,296.8709677419355,366.16129032258067,1.3993548387096775,0.0625
en-universal-test.conllu 1267,11,to,to,2.0,6.06317229855216,0.0269,-3.6156289923743437,7.43,False,114.84375,183.92307692307693,183.92307692307693,0.4115384615384615,0.71875
en-universal-test.conllu 1267,12,be,be,2.0,5.46699507375075,0.00617,-5.088056441064841,6.79,False,232.75,239.8421052631579,265.42105263157896,0.3547368421052632,0.46875
en-universal-test.conllu 1267,13,Italian.,italian,7.0,2.29003461136252,4.57e-05,-9.993412260064115,4.66,True,237.40625,232.04545454545453,284.09090909090907,0.5595454545454546,0.3125
en-universal-test.conllu 1279,0,For,for,3.0,5.54611185676681,0.0102,-4.585367558691911,7.01,False,233.90625,190.96875,207.21875,0.2971875,0.0
en-universal-test.conllu 1279,1,the,the,3.0,6.1766436197553,0.0537,-2.9243422774673182,7.73,False,89.28125,175.75,185.66666666666666,0.7016666666666667,0.71875
en-universal-test.conllu 1279,2,most,most,4.0,4.25261034056737,0.001,-6.907755278982137,6.0,False,241.75,187.3846153846154,209.19230769230768,0.6957692307692308,0.25
en-universal-test.conllu 1279,3,"part,",part,4.0,4.12509071308263,0.000603,-7.413593361237089,5.78,True,90.78125,145.73333333333332,145.73333333333332,0.5766666666666667,0.59375
en-universal-test.conllu 1279,4,what's,what's,6.0,,0.000158,-8.752915524937308,5.2,True,314.09375,232.53846153846155,272.9230769230769,1.0142307692307693,0.375
en-universal-test.conllu 1279,5,made,made,4.0,4.45677583800721,0.000832,-7.091678117143066,5.92,False,459.96875,226.86666666666667,257.1666666666667,0.7973333333333333,0.09375
en-universal-test.conllu 1279,6,here,here,4.0,5.36321510537994,0.000933,-6.977105357116931,5.97,False,369.375,221.12,243.28,0.7896000000000001,0.34375
en-universal-test.conllu 1279,7,stays,stays,5.0,2.9903388547876,1.82e-05,-10.914088963881525,4.26,False,391.28125,208.6875,233.84375,0.75875,0.09375
en-universal-test.conllu 1279,8,"here,",here,4.0,5.36321510537994,0.000933,-6.977105357116931,5.97,True,167.25,182.13636363636363,182.13636363636363,0.881818181818182,0.40625
en-universal-test.conllu 1279,9,and,and,3.0,5.8342814273373,0.0257,-3.661264287080963,7.41,False,47.3125,216.28571428571428,216.28571428571428,0.7585714285714287,1.0
